route,stop,scheduled_hour,actual_hour,delay_min,passenger_count,incident_flag
R2,S5,7,8,2.401031656139379,27,0
R2,S3,20,20,1.5345141262919046,34,0
R2,S1,20,21,3.0744647758490227,27,0
R1,S4,7,7,2.4930595979376373,55,0
R2,S1,5,6,3.428024817993962,45,0
R1,S4,15,15,1.8163207796933813,26,0
R1,S1,21,21,1.7277886964658975,47,0
R1,S1,12,13,3.6166061265383096,16,0
R3,S2,8,8,2.950493031938614,31,0
R3,S5,10,10,1.7389803270107642,44,0
R1,S4,12,13,2.5517572900983447,50,0
R2,S5,7,7,2.277221251418373,53,0
R1,S2,20,21,2.7008055392416437,56,0
R3,S5,7,7,3.904176085135389,19,0
R2,S4,22,22,1.4751943950155935,51,0
R3,S2,18,18,1.033170602163515,27,0
R2,S3,22,22,2.4106878879293006,48,0
R3,S2,6,7,1.1951693687944596,45,0
R1,S4,7,8,0.6336229046794448,48,0
R3,S1,20,21,3.490326540968985,23,0
R2,S5,13,13,1.5691907303250963,48,0
R3,S1,8,8,0.0,15,0
R2,S3,5,6,3.271123569725149,42,0
R3,S1,8,9,1.3427727415688202,44,0
R3,S5,5,6,2.8667484329598873,47,0
R1,S1,18,19,3.6251619550218273,7,0
R2,S2,20,20,2.2844710955179823,20,0
R2,S4,12,13,0.0,36,0
R1,S1,11,11,0.0,42,0
R3,S4,7,8,0.9913877213086013,13,0
R2,S4,21,21,1.9147151002028495,45,0
R2,S4,5,6,3.8002123812896254,42,0
R2,S2,20,21,2.437000464978198,9,0
R1,S4,16,16,5.925910008457937,5,0
R1,S1,18,18,0.0,39,0
R2,S4,10,11,2.181937746350123,39,0
R3,S2,10,10,1.3317936698496913,16,0
R3,S4,17,18,2.351956993912001,40,0
R1,S1,12,12,4.62751168066684,25,0
R3,S2,6,7,4.722370902749523,52,0
R1,S3,5,6,2.0816905539446666,47,0
R2,S3,19,20,3.292270832253185,12,0
R2,S1,5,6,2.3233250009679374,31,0
R2,S5,9,10,0.3870591450043843,13,1
R1,S4,20,21,2.021480603307288,32,0
R3,S5,8,9,1.242335876882736,34,0
R2,S2,7,8,1.9058458632598836,18,0
R3,S4,21,21,0.7218696738195591,27,0
R3,S5,21,21,2.2327205280237052,33,0
R1,S1,16,16,2.4584753794653356,30,0
R1,S2,18,19,3.0563796425313807,26,0
R3,S4,10,11,2.4647899165515215,19,0
R3,S3,7,8,4.451913273243898,55,0
R2,S4,13,13,5.288303660126504,13,0
R2,S2,9,9,1.3932023896226118,30,1
R2,S3,21,21,3.455101683023786,21,0
R3,S1,18,18,5.171900266862505,13,0
R1,S4,7,7,3.4941839903784726,7,0
R3,S5,5,6,3.0759852408901827,20,0
R2,S5,5,5,0.0,17,0
R2,S1,7,8,1.1628861015711576,30,0
R1,S2,22,23,1.3818440750401422,21,0
R3,S1,14,15,4.08078606977951,36,0
R2,S2,7,7,0.9040856879278583,28,0
R1,S3,12,12,1.8719379800409603,58,0
R2,S2,18,19,3.2604131810146386,40,0
R1,S3,22,22,0.8364509756746474,57,0
R3,S4,19,19,2.418634527586012,26,0
R1,S4,6,7,2.2231601067516387,13,0
R3,S1,14,15,3.3156651878779497,26,0
R3,S1,6,7,2.988273711690865,45,0
R2,S4,21,22,2.9409380196876396,54,0
R3,S5,12,13,2.3011777555874877,50,0
R2,S3,5,5,0.0,24,0
R2,S4,13,14,2.2094931915297433,7,0
R3,S5,15,15,2.0829562779578334,40,0
R1,S2,20,20,3.149817127656747,37,0
R3,S4,11,12,1.3656074824959066,22,0
R3,S5,14,15,2.062698627094246,40,0
R1,S4,7,7,2.1100414822533136,14,0
R2,S2,22,23,0.9311680190226956,40,1
R2,S2,17,17,0.27008351988288837,25,0
R3,S3,11,12,2.5738112307426015,29,0
R1,S2,8,9,3.511644613477345,53,0
R1,S2,17,17,1.06263505636538,44,0
R1,S3,5,5,1.6733487131840574,55,0
R1,S4,12,13,3.2443238303377324,13,0
R3,S4,18,19,3.3900627095145714,52,0
R3,S3,20,21,2.347138202468462,31,0
R2,S4,18,18,2.621302399145085,19,0
R1,S4,16,17,2.798074757728756,56,0
R3,S5,19,20,3.0665509703925893,36,0
R3,S3,6,7,0.39287091243187966,52,0
R1,S3,6,7,4.87581558356195,57,0
R1,S1,21,21,2.411005853664137,48,0
R2,S5,14,14,3.094748169260963,59,0
R1,S4,10,10,0.8572936268973046,54,0
R2,S1,19,20,1.7211489572364989,43,0
R2,S5,15,16,2.5654755513898935,20,0
R1,S4,9,10,0.0,32,0
R1,S5,5,5,0.6482899231971948,55,0
R3,S2,12,12,0.9120717818343553,10,0
R1,S4,16,16,0.08204494316331212,10,0
R1,S5,16,16,2.159124065387513,42,0
R2,S5,9,10,1.8888760069007156,51,0
R1,S1,11,11,4.135560965031161,6,0
R3,S5,8,8,0.31898664868100624,45,0
R3,S2,10,11,2.352122567612274,44,0
R1,S2,17,17,0.6798650190182802,11,0
R1,S5,19,20,0.0,31,0
R2,S4,7,8,2.8817057810142077,32,0
R1,S1,12,13,3.005898409002196,20,0
R2,S4,20,21,2.8281780278674935,51,0
R1,S5,17,18,0.02525579104446507,13,0
R2,S2,22,22,2.125381048076716,56,0
R3,S3,14,14,2.8960407195994993,19,0
R1,S1,21,22,3.4282403352861874,38,0
R1,S4,9,9,2.9424420786314096,24,0
R2,S2,13,14,3.447701186546678,18,0
R2,S4,16,16,3.6010697622594496,15,0
R1,S5,5,5,2.15729754961792,34,0
R2,S4,5,5,2.747795288233508,7,0
R1,S1,19,19,3.499515645360558,6,0
R3,S3,6,6,2.5851883074013955,54,0
R2,S3,20,20,3.79849622248324,18,0
R1,S5,12,12,3.3117444925973434,33,0
R3,S1,17,18,1.051322909073701,9,0
R1,S3,5,6,0.04100014139715569,48,0
R1,S2,20,21,2.028961293839196,50,0
R3,S4,11,11,0.2283043051420255,10,0
R2,S5,9,9,2.124688726818874,12,0
R3,S2,7,8,1.988896405999023,43,0
R1,S5,16,17,3.951366856124836,43,0
R3,S1,20,20,2.7575939994253256,48,0
R1,S5,9,10,3.4669028124306456,33,0
R3,S3,18,19,1.265607676326841,43,0
R2,S1,9,10,4.294502411431447,48,0
R3,S5,19,20,3.340472144183657,31,0
R3,S2,21,21,2.6411573421250787,20,0
R2,S1,18,19,0.0,31,0
R1,S1,9,10,3.768109664007876,43,0
R3,S5,16,17,4.660002585506492,44,1
R1,S5,20,21,2.016929334740478,5,0
R3,S1,20,20,2.0476231364356887,49,0
R2,S4,11,12,1.2249843394490467,55,0
R3,S4,8,9,0.0,37,0
R1,S3,5,6,1.156859284777721,54,0
R1,S1,9,10,4.4891292482873135,43,0
R2,S4,14,15,3.6185170436203045,58,0
R1,S2,9,9,0.8409370098035285,31,0
R2,S1,8,9,1.1324193174148407,21,0
R2,S4,6,7,5.202623013395195,19,0
R1,S5,14,14,0.4697671662096701,26,0
R1,S2,5,6,0.9268617191348829,23,0
R2,S3,9,9,1.355627531612425,32,0
R1,S4,17,18,0.0,27,0
R2,S5,8,8,1.193734593732434,40,0
R3,S2,20,20,1.2165375087904624,53,0
R1,S2,20,21,0.6466251868035982,43,0
R1,S3,6,6,3.9919567539618646,52,0
R2,S5,21,22,0.24975607261833677,53,0
R3,S4,16,16,1.7871111145896792,24,0
R3,S1,22,22,0.684498255902134,51,0
R1,S2,7,8,1.6850390579397128,13,1
R2,S4,5,5,0.614802505163071,57,0
R2,S1,5,6,2.1138419477601382,27,0
R1,S4,15,15,2.482194630954474,49,0
R3,S4,9,9,4.1032728107020855,11,0
R2,S2,16,17,1.1171075231565883,35,0
R2,S2,7,8,4.4267400853519705,55,0
R1,S4,5,5,0.7895326000400953,15,0
R1,S4,5,6,1.6429713793266632,44,0
R3,S3,12,13,4.647109628662694,21,0
R3,S1,14,14,6.354412442758014,40,0
R2,S5,15,15,4.528904830935998,30,0
R1,S5,16,17,1.6646123301441977,40,0
R1,S3,17,17,2.7723128544941904,22,0
R1,S4,16,17,3.0239553218193347,58,0
R3,S4,18,19,2.518135728560707,35,0
R3,S3,6,7,0.488230176399286,53,0
R2,S5,22,23,2.3518737006130204,39,0
R1,S2,7,8,1.2412314961205668,45,0
R3,S2,21,22,0.5473809294349998,32,0
R1,S4,12,12,1.5329461380935094,30,0
R3,S1,14,15,2.4729972059666374,10,0
R1,S5,6,6,3.502074718490972,38,0
R2,S1,13,14,1.6191075349836257,32,0
R3,S4,11,11,1.8820852973701145,48,0
R3,S5,8,8,3.2058939193773117,51,0
R2,S2,22,22,2.1063078057130435,13,0
R2,S2,17,18,2.5723273638338915,33,0
R1,S1,15,15,2.1169527082909134,38,0
R3,S5,8,8,2.304097532359534,16,0
R1,S4,8,9,0.38146331109815224,20,0
R1,S3,14,14,2.1834900292472845,11,1
R1,S3,9,9,4.141793573127943,35,0
R3,S3,13,14,2.2534871471214966,37,0
R2,S4,7,7,0.7493735872434206,57,0
R1,S3,21,21,4.214795056179053,11,0
R3,S1,7,8,3.082057516683138,7,0
R1,S2,20,20,3.1514416434010317,24,0
R2,S3,8,8,3.11078343345865,9,0
R2,S2,22,22,0.31044440578252197,7,0
R3,S1,21,21,2.971707457926236,51,0
R3,S5,11,12,4.076945687264814,42,0
R2,S5,9,10,1.2796974119824445,19,0
R3,S4,16,17,0.0,39,0
R2,S2,21,22,2.548357331957207,27,0
R1,S4,17,17,2.0491214712941,37,0
R2,S3,7,8,0.0,6,0
R1,S4,13,14,2.908067833720283,40,0
R3,S1,21,21,2.7954385385989156,25,0
R1,S4,21,21,0.0,18,0
R2,S3,20,20,4.833960833567981,18,0
R3,S3,17,18,3.126681786170722,46,0
R3,S1,21,21,0.0,15,0
R2,S2,8,8,3.228296098377659,8,0
R3,S5,16,16,3.1847391056265284,51,0
R2,S1,13,14,4.1225120964287925,56,0
R1,S5,16,17,1.0641861922126477,34,0
R1,S1,13,14,3.249954580010446,40,0
R3,S1,11,12,1.645022141955031,24,0
R2,S4,18,19,1.1652728447918335,56,0
R2,S4,19,20,0.7024902497399133,20,0
R1,S4,20,21,0.0,38,0
R1,S1,9,9,2.8106360037956435,49,0
R3,S4,7,7,1.5904263762272637,12,0
R2,S1,16,16,0.0,49,0
R3,S4,8,9,2.1130327997834955,24,0
R3,S5,20,21,3.736770277189362,25,0
R3,S2,11,11,0.03952181129610932,44,0
R2,S4,17,17,0.9311013771323109,34,0
R1,S3,14,15,2.661382564123831,40,0
R2,S2,11,12,0.0,9,0
R2,S3,18,19,1.1994780502014708,25,0
R2,S2,9,10,2.5199095107087497,42,0
R3,S4,7,8,1.1583229291146324,27,0
R3,S5,15,16,0.05298727086251365,23,0
R2,S4,15,16,0.12486698735911506,14,0
R3,S1,22,23,0.0,31,0
R3,S3,19,19,1.0504468991574776,39,0
R1,S2,16,17,3.5849929238915403,17,0
R2,S5,13,14,5.54283605475532,13,1
R2,S3,14,15,2.0542740941646374,21,0
R3,S5,16,16,3.1523728657288146,35,0
R2,S3,21,21,0.5887668887119544,46,0
R2,S4,10,11,0.0,48,0
R2,S1,11,11,4.777413615559174,49,0
R2,S3,18,18,1.1073518884282552,28,0
R3,S5,17,17,3.078062438864179,46,0
R1,S4,12,13,2.237691777678294,55,0
R3,S2,14,15,3.4918863932535835,57,0
R1,S2,13,14,3.4311464905639633,23,0
R2,S4,22,23,2.4165884845017653,53,0
R2,S2,6,7,2.5816718140435806,34,0
R2,S5,9,10,3.8188768729603257,9,0
R2,S1,9,10,1.3854606855599765,12,0
R2,S4,10,10,4.333422442194088,41,0
R2,S1,12,13,0.9382156288926076,51,0
R2,S1,20,21,2.114869896805201,40,0
R1,S4,17,18,2.943769786811832,29,0
R3,S3,5,6,0.0,49,0
R2,S5,21,22,4.072772053689624,53,0
R2,S4,11,12,2.713851251787471,9,0
R2,S5,17,18,6.951457841452291,37,1
R1,S1,8,9,5.121038765645446,26,0
R2,S1,8,8,1.983648303494428,51,0
R3,S3,10,10,4.678380053714109,46,0
R1,S1,16,17,3.271004488031365,29,0
R1,S4,11,12,2.3466607527701884,47,0
R2,S5,14,14,0.0,54,0
R1,S3,11,12,0.0,33,0
R2,S4,7,8,2.00655537737445,49,0
R3,S5,17,17,1.2569530598150822,56,0
R3,S5,17,18,2.33778383719554,34,0
R1,S2,22,23,4.058554746404452,52,0
R1,S2,12,13,3.297437308756514,55,0
R2,S4,13,13,0.9555708756321171,34,0
R1,S3,11,11,3.387436841758639,59,0
R3,S5,5,6,0.6289290187392229,48,0
R1,S5,7,7,0.2866396220233347,59,0
R3,S4,17,17,2.572455601553052,50,0
R2,S3,21,21,0.7782461115763732,35,0
R3,S1,5,6,1.0372313258520394,38,0
R1,S3,10,10,3.490958096113217,32,0
R3,S1,10,10,2.9864505365115352,14,0
R3,S5,16,16,1.4422914788249948,8,0
R1,S2,17,18,0.0,37,0
R2,S2,17,17,0.8972565348995496,21,0
R3,S4,19,19,4.913117015247801,15,0
R1,S3,20,21,3.44981062249912,11,0
R3,S3,15,15,4.135386426530418,21,0
R3,S1,9,9,2.384037117352812,32,0
R3,S4,8,8,1.4734276137916678,21,0
R2,S3,7,8,3.357788851057833,45,0
R3,S4,22,23,3.9227585428929417,14,0
R1,S1,19,19,1.2803871570566563,30,0
R1,S5,13,13,0.9301927955329492,10,0
R3,S4,21,21,0.0,21,0
R2,S2,18,18,0.8923624910842041,20,0
R1,S5,19,19,3.0033783145155835,43,0
R2,S3,5,5,1.1056086731825698,55,0
R2,S1,7,8,3.3975950764562737,30,0
R1,S1,20,20,4.950762444204718,8,0
R1,S2,15,15,2.0372308319372006,24,0
R2,S4,16,16,1.9755953586355033,53,0
R3,S2,14,15,2.8229172906817688,45,0
R2,S4,20,20,1.1383962940925054,15,0
R1,S2,12,13,1.029019097747702,27,0
R2,S2,10,10,1.0737384646545252,37,0
R1,S1,16,16,0.28163369684786743,35,0
R3,S4,12,12,3.3496802761445266,11,0
R3,S2,8,8,1.255130069390124,26,0
R3,S3,12,12,3.6670803881468883,9,0
R3,S1,22,22,2.7939244880467213,41,0
R3,S1,9,10,1.9658290543323729,5,0
R1,S1,13,13,3.214442417093239,10,0
R2,S1,8,8,0.5848076319584767,49,0
R3,S2,21,21,0.8293935834342334,51,0
R1,S2,13,14,3.070396232835966,8,0
R2,S1,5,5,0.0,34,0
R2,S2,17,18,2.0219167704505745,34,0
R3,S2,20,20,2.8857534781929175,21,0
R3,S4,17,17,3.9663240900330443,28,0
R2,S3,18,19,4.273219498531416,35,0
R2,S4,7,8,1.8045706260741252,32,0
R1,S5,10,10,3.1553997927246558,49,0
R3,S4,22,23,0.7934747632518511,47,0
R2,S3,9,10,1.3347703414726175,8,0
R2,S3,19,19,4.051490770476743,43,0
R3,S4,6,6,1.9401435326164214,23,0
R1,S4,14,14,2.239516642746231,28,0
R1,S5,22,23,0.4502956398821474,11,0
R3,S1,17,17,2.63385074701136,50,0
R1,S3,9,9,3.1310814272685694,57,0
R1,S1,5,6,3.084534355595258,52,0
R1,S5,5,6,0.18295829907570194,57,0
R2,S2,22,22,3.4999165149665448,13,0
R2,S2,19,20,0.5028490096467024,26,0
R1,S1,21,22,1.9603775013694313,58,0
R3,S4,15,16,0.0,6,0
R3,S3,21,21,1.7307974634860441,31,0
R3,S1,17,17,0.49462029775783733,20,0
R1,S4,5,5,1.326714260487937,9,0
R3,S5,6,7,2.0898656595267235,16,0
R2,S4,13,13,3.2408372103106227,56,0
R3,S5,7,7,3.189355200038441,30,1
R3,S1,5,6,0.0,19,0
R2,S2,20,21,3.017477409701242,7,0
R2,S3,10,10,2.3094146087673524,13,0
R1,S1,21,22,1.1596959614896571,32,0
R1,S2,9,9,0.6793890461203991,43,0
R1,S5,9,9,1.9063577937873037,40,0
R1,S3,10,10,2.3458970283408647,29,0
R1,S4,7,8,2.566823423421847,45,0
R2,S1,9,10,1.7040648663198965,32,0
R2,S4,9,9,0.0,51,0
R2,S3,14,14,1.2570451360948771,59,0
R3,S1,14,14,0.22446148694581058,25,0
R3,S1,21,21,5.082831452774519,33,0
R3,S4,18,19,2.088969148129067,29,0
R1,S4,13,13,3.1116800193248935,34,0
R3,S2,18,18,2.9526906406261517,43,0
R1,S4,5,6,2.46549271394262,15,0
R1,S5,17,17,1.3756735701510139,23,0
R1,S2,17,17,1.1842564191081604,15,0
R1,S4,8,8,0.0,29,1
R3,S1,5,5,2.2132897027119647,5,0
R2,S4,21,21,2.450571405436828,36,0
R1,S3,12,13,1.9282552307031295,25,0
R3,S2,6,7,2.215132803072614,49,0
R1,S1,12,13,0.19038449906880683,17,0
R1,S4,11,12,1.5589290290506572,38,0
R2,S3,6,6,1.0252193093273176,21,0
R1,S2,7,8,2.9975088734525155,55,0
R2,S2,22,23,2.061476492352874,59,0
R3,S2,16,17,1.0402810412121961,51,0
R1,S1,5,6,1.7600736731475461,23,0
R2,S4,16,17,0.4407129864185362,14,0
R1,S1,9,10,1.5077373097382707,46,0
R1,S5,21,22,2.874030442522427,13,0
R1,S4,20,21,0.0015576897176172722,55,0
R2,S5,19,19,1.9082650957316616,15,0
R3,S4,19,20,0.8750976293326216,42,0
R2,S2,9,9,0.0026275079634991982,35,0
R3,S1,18,19,4.797940398933468,6,0
R2,S5,6,7,3.88066102699714,28,0
R2,S2,15,16,1.1029050145267578,46,0
R3,S2,11,11,1.5653463549065463,51,0
R3,S5,10,10,0.0,9,0
R3,S4,6,7,0.0,54,0
R2,S5,10,10,0.30795738945277495,34,0
R3,S1,22,23,1.9496225372300064,43,0
R1,S3,6,6,1.8279177323091262,39,0
R1,S4,22,22,2.497582919934932,57,0
R1,S2,19,19,3.017911488605286,52,0
R1,S5,6,7,2.41701392732975,21,0
R3,S3,10,10,0.3778882280580862,35,0
R3,S5,5,5,2.4860351513330983,6,0
R1,S3,19,20,2.9530277169487102,20,0
R3,S4,14,14,1.359091127351695,25,0
R1,S5,21,22,0.0,34,0
R2,S5,9,10,3.7761035876658107,56,0
R3,S3,8,8,2.1324718241978626,5,0
R2,S1,14,15,0.0,18,0
R3,S2,21,21,5.105379627300793,20,0
R3,S3,14,14,1.281856221372748,59,0
R3,S5,21,22,5.658534780765975,13,0
R2,S3,9,9,2.566046549202871,53,0
R2,S3,6,6,1.6959804873932383,12,0
R1,S5,10,11,2.275392086460959,13,0
R2,S5,6,7,0.9360924242842263,38,0
R2,S1,17,17,2.091965596334055,49,0
R1,S1,15,16,5.015930949812285,37,1
R2,S1,15,16,0.6520663546238703,26,0
R2,S5,20,21,2.8000470634027708,34,0
R1,S4,15,16,0.9203617329096727,11,0
R2,S1,19,19,1.7478785233927763,22,0
R1,S2,20,20,4.964915500820908,25,0
R3,S4,15,16,2.789692720117802,9,0
